date,sector,sentiment,sentiment_smoothed,sentiment_lagged,n_tickers,n_headlines
2021-05-10,Consumer,0.14137,0.08370156944444447,0.07019396944444446,5,16
2021-05-11,Consumer,0.03266299999999999,0.05911871111111113,0.08370156944444447,5,17
2021-05-12,Consumer,0.011312500000000003,0.04140676666666669,0.05911871111111113,4,11
2021-05-13,Consumer,0.44750666666666666,0.10981643333333335,0.04140676666666669,3,16
2021-05-14,Consumer,-0.008246648550724638,0.12492110362318842,0.10981643333333335,4,36
2021-05-17,Consumer,0.030266176470588237,0.10270033891730608,0.12492110362318842,4,39
2021-05-18,Consumer,0.15035223214285715,0.12623818534587752,0.10270033891730608,4,39
2021-05-19,Consumer,0.12925099999999998,0.1498258853458775,0.12623818534587752,5,23
2021-05-20,Consumer,0.23345583333333333,0.10701571867921085,0.1498258853458775,5,22
2021-05-21,Consumer,0.1184952380952381,0.13236409600840338,0.10701571867921085,4,15
2021-05-24,Consumer,0.1825652222222222,0.1628239051587302,0.13236409600840338,5,32
2021-05-25,Consumer,0.17060486111111112,0.16687443095238094,0.1628239051587302,4,15
2021-05-26,Consumer,0.11052765151515152,0.1631297612554113,0.16687443095238094,4,21
2021-05-27,Consumer,0.25051750000000006,0.16654209458874464,0.1631297612554113,5,20
2021-05-28,Consumer,0.2902066666666666,0.20088438030303032,0.16654209458874464,5,11
2021-06-01,Consumer,0.2783044871794872,0.22003223329448335,0.20088438030303032,5,27
2021-06-02,Consumer,0.15471809523809524,0.21685488011988013,0.22003223329448335,5,15
2021-06-03,Consumer,0.27291333333333334,0.24933201648351652,0.21685488011988013,5,12
2021-06-04,Consumer,0.11211533333333334,0.22165158315018316,0.24933201648351652,5,18
2021-06-07,Consumer,0.13749194444444446,0.19110863870573874,0.22165158315018316,5,24
2021-06-08,Consumer,0.07043583333333334,0.14953490793650798,0.19110863870573874,4,17
2021-06-09,Consumer,0.10841666666666665,0.14027462222222226,0.14953490793650798,3,9
2021-06-10,Consumer,0.08751033333333333,0.10319402222222225,0.14027462222222226,5,20
2021-06-11,Consumer,0.026685000000000004,0.08610795555555559,0.10319402222222225,5,13
2021-06-14,Consumer,0.27620698412698413,0.11385096349206351,0.08610795555555559,5,21
2021-06-15,Consumer,0.19505583333333332,0.1387749634920635,0.11385096349206351,4,12
2021-06-16,Consumer,0.1093537142857143,0.13896237301587305,0.1387749634920635,5,20
2021-06-17,Consumer,0.08904166666666667,0.13926863968253972,0.13896237301587305,3,10
2021-06-18,Consumer,0.268815,0.18769463968253972,0.13926863968253972,5,15
2021-06-21,Consumer,0.0415036111111111,0.1407539650793651,0.18769463968253972,5,35
2021-06-22,Consumer,0.008059000000000005,0.10335459841269845,0.1407539650793651,5,13
2021-06-23,Consumer,0.13532316666666666,0.10854848888888893,0.10335459841269845,5,20
2021-06-24,Consumer,0.18721000000000002,0.1281821555555556,0.10854848888888893,5,24
2021-06-25,Consumer,0.10774383333333333,0.09596792222222225,0.1281821555555556,5,33
2021-06-28,Consumer,0.12147492063492063,0.11196218412698415,0.09596792222222225,5,27
2021-06-29,Consumer,-0.024838571428571425,0.10538266984126984,0.11196218412698415,5,13
2021-06-30,Consumer,0.009157761904761905,0.08014958888888891,0.10538266984126984,5,20
2021-07-01,Consumer,0.15585333333333334,0.07387825555555558,0.08014958888888891,5,13
2021-07-02,Consumer,0.2601,0.10434948888888891,0.07387825555555558,4,9
2021-07-06,Consumer,0.12166666666666666,0.10438783809523813,0.10434948888888891,5,19
2021-07-07,Consumer,0.1907725,0.1475100523809524,0.10438783809523813,5,16
2021-07-08,Consumer,0.0016099999999999893,0.14600050000000003,0.1475100523809524,5,7
2021-07-09,Consumer,0.103335,0.13549683333333334,0.14600050000000003,5,14
2021-07-12,Consumer,0.13027555555555556,0.10953194444444447,0.13549683333333334,5,19
2021-07-13,Consumer,0.22239416666666667,0.12967744444444446,0.10953194444444447,5,18
2021-07-14,Consumer,0.17537166666666665,0.1265972777777778,0.12967744444444446,5,14
2021-07-15,Consumer,0.06137249999999998,0.1385497777777778,0.1265972777777778,5,21
2021-07-16,Consumer,0.15410555555555558,0.1487038888888889,0.1385497777777778,3,15
2021-07-19,Consumer,0.03215363636363636,0.12907950505050508,0.1487038888888889,5,32
2021-07-20,Consumer,0.08908000000000002,0.10241667171717173,0.12907950505050508,4,12
2021-07-21,Consumer,0.11052625,0.0894475883838384,0.10241667171717173,5,22
2021-07-22,Consumer,0.17889,0.11295108838383841,0.0894475883838384,4,18
2021-07-23,Consumer,0.09682125,0.1014942272727273,0.11295108838383841,4,13
2021-07-26,Consumer,0.07821625000000001,0.11070675000000003,0.1014942272727273,4,21
2021-07-27,Consumer,0.14994236111111112,0.12287922222222225,0.11070675000000003,4,21
2021-07-28,Consumer,0.19695,0.14016397222222224,0.12287922222222225,4,21
2021-07-29,Consumer,0.20933123809523807,0.14625221984126985,0.14016397222222224,5,25
2021-07-30,Consumer,0.041459523809523814,0.13517987460317463,0.14625221984126985,5,19
2021-08-02,Consumer,0.28372196969696967,0.17628101854256856,0.13517987460317463,4,17
2021-08-03,Consumer,0.2948357142857143,0.2052596891774892,0.17628101854256856,4,17
2021-08-04,Consumer,0.06540416666666667,0.17895052251082252,0.2052596891774892,4,14
2021-08-05,Consumer,0.31801833333333335,0.20068794155844158,0.17895052251082252,5,13
2021-08-06,Consumer,0.16566666666666668,0.22552937012987018,0.20068794155844158,4,12
2021-08-09,Consumer,0.12900181818181816,0.19458533982683984,0.22552937012987018,5,23
2021-08-10,Consumer,0.06527,0.14867219696969697,0.19458533982683984,4,13
2021-08-11,Consumer,0.0622875,0.14804886363636366,0.14867219696969697,4,10
2021-08-12,Consumer,0.13319708333333333,0.11108461363636365,0.14804886363636366,5,28
2021-08-13,Consumer,0.31562092105263156,0.14107546451355663,0.11108461363636365,5,35
2021-08-16,Consumer,0.07773342105263158,0.1308217850877193,0.14107546451355663,5,39
2021-08-17,Consumer,0.13607518518518516,0.14498282212475636,0.1308217850877193,3,32
2021-08-18,Consumer,0.11213437500000001,0.15495219712475633,0.14498282212475636,4,17
2021-08-19,Consumer,0.16972777777777778,0.16225833601364523,0.15495219712475633,3,11
2021-08-20,Consumer,0.22631,0.1443961518031189,0.16225833601364523,4,13
2021-08-23,Consumer,0.05554440476190477,0.13995834854497355,0.1443961518031189,5,24
2021-08-24,Consumer,0.023832142857142857,0.1175097400793651,0.13995834854497355,4,13
2021-08-25,Consumer,0.08050125,0.1111831150793651,0.1175097400793651,4,22
2021-08-26,Consumer,0.12436049999999998,0.10210965952380953,0.1111831150793651,5,19
2021-08-27,Consumer,0.1022,0.07728765952380953,0.10210965952380953,3,15
2021-08-30,Consumer,0.2406659523809524,0.11431196904761905,0.07728765952380953,5,21
2021-08-31,Consumer,0.06124047619047619,0.12179363571428573,0.11431196904761905,5,21
2021-09-01,Consumer,0.23976666666666668,0.15364671904761906,0.12179363571428573,5,16
2021-09-02,Consumer,-0.014074166666666672,0.12595978571428573,0.15364671904761906,4,14
2021-09-03,Consumer,0.29701666666666665,0.16492311904761908,0.12595978571428573,4,15
2021-09-07,Consumer,0.18321857142857143,0.15343364285714287,0.16492311904761908,5,26
2021-09-08,Consumer,0.1454313636363636,0.17027182034632032,0.15343364285714287,5,22
